"","Skipaskrárnúmer","Lengd","Brúttórúmmál","Brúttótonn","WSA","gerd"
"886",7064,8.62,5.89,5.04,37.8077482980119,"litlir"
"887",7065,7.99,5.77,5.06,37.8979956164627,"litlir"
"888",7067,9.93,9.29,9.57,55.6194406056922,"litlir"
"889",7074,7.98,5.9,4.96,37.4453245693015,"litlir"
"890",7075,7.73,5.68,4.86,36.9890062922887,"litlir"
"891",7076,8.21,5.68,4.86,36.9890062922887,"litlir"
"892",7077,9.93,9.86,9.54,55.5144129528127,"litlir"
"893",7078,8.09,4.39,3.9,32.3995160715058,"litlir"
"894",7081,7.48,3.87,3.93,32.549321904643,"litlir"
"895",7084,7.99,5.77,5.07,37.9430660296581,"litlir"
"896",7088,6.99,2.63,3.2,28.7619228510231,"litlir"
"897",7095,8.46,5.9,4.97,37.4907541051376,"litlir"
"898",7096,11.01,10.34,12.07,63.959551053838,"litlir"
"899",7097,7.98,5.9,4.96,37.4453245693015,"litlir"
"900",7098,8.54,7.07,5.66,40.5427423693262,"litlir"
"901",7103,8.83,5.95,5.91,41.6114925422353,"litlir"
"902",7104,7.99,6.12,5.22,38.6149318659687,"litlir"
"903",7105,7.91,3.77,4.11,33.4387786791346,"litlir"
"904",7111,10.89,7.51,10.87,60.0520469706842,"litlir"
"905",7112,7.73,5.95,4.78,36.6212550395562,"litlir"
"906",7113,8.28,6.23,5.29,38.925835648078,"litlir"
"907",7116,8.2,3.77,4.11,33.4387786791346,"litlir"
"908",7121,9.2,8.6,6.95,45.8767329298853,"litlir"
"909",7124,7.99,5.77,5.06,37.8979956164627,"litlir"
"910",7126,10.91,0,11.35,61.6346790350504,"litlir"
"911",7133,7.98,5.9,4.96,37.4453245693015,"litlir"
"912",7136,7.98,5.9,4.96,37.4453245693015,"litlir"
"913",7143,9.93,7.18,9.01,53.6366881721269,"litlir"
"914",7144,8.27,5.92,5.29,38.925835648078,"litlir"
"915",7147,8.68,0,5.37,39.279156238435,"litlir"
"916",7150,9.38,0,6.75,45.0773629153171,"litlir"
"917",7152,8.48,5.92,5.03,37.7625711958569,"litlir"
"918",7154,7.73,6.03,4.86,36.9890062922887,"litlir"
"919",7156,7.98,5.9,5.15,38.3023642432129,"litlir"
"920",7157,7.91,3.77,4.11,33.4387786791346,"litlir"
"921",7159,8.42,5.77,5.11,38.1229949844284,"litlir"
"922",7160,9.18,6.08,4.98,37.5361472753156,"litlir"
"923",7161,9.42,0,8.96,53.4573039502651,"litlir"
"924",7162,7.98,5.9,5.16,38.3471198189951,"litlir"
"925",7164,8.38,5.9,5.15,38.3023642432129,"litlir"
"926",7168,8.85,5.2,5.4,39.4111106082409,"litlir"
"927",7170,8,5.87,4.26,34.1682085137481,"litlir"
"928",7172,7.98,5.9,5.15,38.3023642432129,"litlir"
"929",7173,9.93,6.36,6.87,45.5580981378849,"litlir"
"930",7175,7.98,5.9,5.15,38.3023642432129,"litlir"
"931",7180,8.58,5.45,4.45,35.0776391964851,"litlir"
